Id,S1,C1,S2,C2,S3,C3,S4,C4,S5,C5,CLASS
245765,2,10,1,4,3,10,1,10,2,11,3
235274,4,7,4,4,3,10,1,1,2,3,0
795377,2,13,4,7,1,10,1,13,3,4,1
811537,2,11,3,11,1,1,2,6,3,10,1
422395,3,7,1,9,1,3,3,3,2,9,2
87843,3,5,3,10,3,13,4,3,3,11,0
789541,1,3,4,12,3,1,2,5,1,1,1
245719,3,1,3,12,1,12,4,7,2,2,1
841877,2,11,3,10,4,12,3,3,4,3,1
435479,3,7,3,4,4,10,4,1,3,8,0
28064,2,3,2,4,4,6,2,6,2,2,1
297090,1,3,3,10,4,9,3,7,2,4,0
562036,4,4,3,7,3,10,3,2,4,2,1
794226,4,10,2,1,2,6,3,12,4,8,0
318982,1,7,2,13,3,11,3,10,1,5,0
557972,4,6,2,10,3,10,4,9,4,12,1
883548,2,1,1,3,4,10,2,4,1,13,0
633464,4,2,1,1,1,2,2,12,3,2,3
478357,4,1,3,13,2,9,4,5,2,12,0
580282,4,1,3,6,2,5,3,13,2,11,0
874950,3,7,4,3,3,6,4,13,4,8,0
175545,3,1,3,8,1,11,2,1,2,13,1
554183,4,1,1,3,2,6,2,11,4,12,0
698340,4,2,3,2,3,9,4,13,4,4,1
584839,2,8,2,2,3,6,4,3,1,12,0
83931,4,3,1,5,4,9,1,11,2,5,1
131986,4,3,4,1,3,4,1,5,4,7,0
466555,4,13,2,4,4,5,3,1,3,11,0
309129,3,4,3,3,3,13,2,3,1,8,1
100250,1,9,1,4,1,5,2,9,3,9,3
686103,1,3,2,4,1,10,1,9,3,9,1
361047,3,2,2,1,3,7,2,4,1,12,0
5122,3,11,2,6,1,8,4,9,1,4,0
733002,1,11,4,10,4,6,4,2,4,7,0
512858,4,11,4,4,4,1,2,8,2,4,1
879393,1,3,3,6,4,8,4,2,3,7,0
734835,2,1,1,11,2,12,2,13,4,3,0
220308,2,9,1,8,3,8,1,12,2,13,1
28542,4,10,2,13,3,1,1,4,1,3,0
124799,4,13,2,8,4,8,4,9,2,5,1
550074,1,2,4,1,1,8,3,1,1,3,1
485869,2,10,2,8,4,2,3,5,3,10,1
725243,3,13,2,3,2,9,1,13,1,5,1
413721,1,7,2,3,2,12,4,7,1,9,1
481462,3,8,1,7,4,1,3,2,2,4,0
558276,2,9,4,5,2,7,4,12,4,13,0
693104,1,7,3,3,1,3,1,9,1,6,1
528718,2,12,4,10,4,8,4,7,2,10,1
339145,1,3,4,8,4,12,3,9,3,12,1
508729,3,11,1,11,4,10,1,3,2,8,1
639289,1,3,4,13,4,8,1,11,3,10,0
805625,2,6,3,5,3,11,1,10,2,1,0
66588,4,7,3,8,3,4,2,6,1,6,1
90134,2,11,1,11,2,7,2,6,2,12,1
824508,1,2,2,8,2,10,3,12,2,9,0
757687,1,11,2,10,2,2,1,13,2,3,0
611758,1,4,2,6,1,5,4,4,2,5,2
444013,1,13,2,1,1,8,2,9,1,10,0
790952,1,8,3,11,1,12,4,7,3,4,0
278780,1,10,4,9,1,2,3,3,2,7,0
84900,2,7,4,2,2,8,2,13,3,2,1
793348,1,9,3,8,1,5,3,13,2,13,1
574588,2,11,4,5,4,2,2,3,1,7,0
7789,1,12,1,1,3,3,2,5,2,11,0
474615,1,12,4,2,2,11,1,2,1,6,1
470629,2,10,4,10,1,10,1,12,3,10,7
547565,3,9,4,3,2,5,3,8,4,2,0
841559,3,13,1,13,1,12,4,6,3,9,1
868942,1,8,3,9,4,9,3,6,4,6,2
818389,1,4,4,6,4,9,2,12,2,3,0
293685,1,7,4,4,2,10,4,12,1,6,0
806413,1,13,3,13,3,1,1,5,4,10,1
172994,2,10,1,8,2,3,1,9,4,8,1
98979,2,6,4,13,1,11,1,12,3,9,0
287266,4,11,3,3,4,2,2,9,2,13,0
176707,4,3,4,1,3,1,1,8,1,4,1
644152,4,2,4,5,2,12,1,1,3,13,0
129347,3,12,2,2,4,4,4,6,2,1,0
990527,4,9,2,9,2,7,1,7,2,8,2
75004,1,10,1,8,3,4,2,9,2,4,1
189625,3,9,4,12,4,11,2,8,2,6,0
451652,1,11,3,3,4,6,1,8,1,12,0
695402,3,11,1,10,3,8,4,6,4,3,0
724195,2,5,3,12,1,1,4,9,4,12,1
560385,1,11,4,13,4,1,4,9,2,12,0
886341,4,1,4,12,4,2,3,8,3,1,1
862708,4,13,1,10,2,10,2,1,4,2,1
367649,2,5,1,2,3,11,4,13,2,8,0
424176,4,5,1,12,2,11,2,4,2,12,1
750527,2,10,3,7,3,8,2,6,2,13,0
416344,3,9,3,7,4,7,4,2,3,13,1
724672,4,1,1,6,2,2,2,4,3,1,1
826144,2,9,3,9,3,1,3,10,1,1,2
554702,2,11,4,9,1,7,1,6,2,4,0
559170,4,13,4,9,3,10,3,8,4,6,0
228442,3,8,4,2,1,6,3,5,4,10,0
443279,1,6,3,10,4,3,3,2,3,1,0
